ticker,entry_date,exit_date,return,days_held,allocated,strategy
MSFT,2023-04-25,2023-05-24,0.06208744036655919,20,2027.404856297844,Strategy C (Fin+Tech only)
GOOGL,2023-04-26,2023-05-25,0.1911493232498537,20,1621.923885038275,Strategy C (Fin+Tech only)
TXN,2023-04-26,2023-05-25,0.020756082622393545,20,1297.53910803062,Strategy C (Fin+Tech only)
MA,2023-04-27,2023-05-26,-0.005107200816830722,20,1038.0312864244959,Strategy C (Fin+Tech only)
V,2023-04-27,2023-05-26,-0.020215774584016605,20,830.4250291395967,Strategy C (Fin+Tech only)
BAC,2023-05-01,2023-05-31,-0.02699668457373305,20,553.6166860930645,Strategy C (Fin+Tech only)
AAPL,2023-05-05,2023-06-06,0.043868752616192094,20,395.44049006647464,Strategy C (Fin+Tech only)
BRK-B,2023-05-08,2023-06-07,0.0271343761683516,20,296.580367549856,Strategy C (Fin+Tech only)
V,2023-07-26,2023-08-24,0.021262296849884798,20,2117.6444422665295,Strategy C (Fin+Tech only)
TXN,2023-07-26,2023-08-24,-0.03254692068627178,20,1694.1155538132234,Strategy C (Fin+Tech only)
MA,2023-07-27,2023-08-25,0.005759567268795826,20,1355.2924430505786,Strategy C (Fin+Tech only)
MSFT,2023-07-27,2023-08-25,-0.035523175467125384,20,1084.2339544404629,Strategy C (Fin+Tech only)
BAC,2023-07-31,2023-08-29,-0.09365079211350263,20,867.3871635523703,Strategy C (Fin+Tech only)
JPM,2023-08-03,2023-09-01,-0.06692060268208637,20,578.2581090349136,Strategy C (Fin+Tech only)
AAPL,2023-08-04,2023-09-05,0.034162950847233885,20,413.04150645350967,Strategy C (Fin+Tech only)
BRK-B,2023-08-07,2023-09-06,0.0006692881963239149,20,309.7811298401323,Strategy C (Fin+Tech only)
AVGO,2023-09-06,2023-10-05,-0.04163204487998366,20,2088.3579179890453,Strategy C (Fin+Tech only)
MSFT,2023-10-24,2023-11-22,0.09681225714292016,20,2070.969395875607,Strategy C (Fin+Tech only)
GOOGL,2023-10-25,2023-11-24,0.11873723499474866,20,1656.7755167004857,Strategy C (Fin+Tech only)
TXN,2023-10-25,2023-11-24,0.09441088450091036,20,1325.4204133603887,Strategy C (Fin+Tech only)
MA,2023-10-26,2023-11-27,0.12044933038086945,20,1060.336330688311,Strategy C (Fin+Tech only)
BAC,2023-10-31,2023-11-30,0.15070619935105778,20,848.2690645506485,Strategy C (Fin+Tech only)
JPM,2023-11-01,2023-12-01,0.11128497622466622,20,565.5127097004323,Strategy C (Fin+Tech only)
V,2023-11-15,2023-12-15,0.022814310628475554,20,403.9376497860231,Strategy C (Fin+Tech only)
CRM,2023-11-30,2024-01-02,0.041160211718474636,20,2032.6606213513112,Strategy C (Fin+Tech only)
V,2024-01-26,2024-02-27,0.065411588182148,20,2257.7133670480302,Strategy C (Fin+Tech only)
MSFT,2024-01-30,2024-02-29,0.004985133379062866,20,1806.1706936384244,Strategy C (Fin+Tech only)
GOOGL,2024-01-31,2024-03-01,-0.026963954744189302,20,1444.9365549107395,Strategy C (Fin+Tech only)
MA,2024-02-13,2024-03-14,0.040168606813319144,20,1155.9492439285914,Strategy C (Fin+Tech only)
BRK-B,2024-02-26,2024-03-26,0.0009305700286367515,20,924.7593951428731,Strategy C (Fin+Tech only)
CRM,2024-03-06,2024-04-05,-0.0404658810222412,20,1865.1163222211335,Strategy C (Fin+Tech only)
V,2024-04-24,2024-05-23,0.00918200479870842,20,2275.6220198083665,Strategy C (Fin+Tech only)
TXN,2024-04-24,2024-05-23,0.1579721424390079,20,1820.4976158466934,Strategy C (Fin+Tech only)
MSFT,2024-04-25,2024-05-24,0.037310679875825495,20,1456.3980926773547,Strategy C (Fin+Tech only)
BAC,2024-04-30,2024-05-30,0.039849127561791015,20,1165.1184741418836,Strategy C (Fin+Tech only)
JPM,2024-05-01,2024-05-31,0.031268104203965676,20,932.0947793135068,Strategy C (Fin+Tech only)
AAPL,2024-05-03,2024-06-04,0.06784556922983631,20,621.3965195423378,Strategy C (Fin+Tech only)
BRK-B,2024-05-06,2024-06-05,0.00679007073646696,20,443.8546568159556,Strategy C (Fin+Tech only)
CRM,2024-05-30,2024-07-01,0.17717534232809484,20,1958.002996412939,Strategy C (Fin+Tech only)
V,2024-07-24,2024-08-22,0.05416765584934677,20,2441.7176861390444,Strategy C (Fin+Tech only)
GOOGL,2024-07-24,2024-08-22,-0.031489406823389625,20,1953.3741489112356,Strategy C (Fin+Tech only)
MSFT,2024-07-30,2024-08-28,-0.012586752462544336,20,1562.6993191289885,Strategy C (Fin+Tech only)
BAC,2024-07-30,2024-08-28,-0.046840452666684435,20,1250.159455303191,Strategy C (Fin+Tech only)
MA,2024-07-31,2024-08-29,0.018357221309694145,20,1000.1275642425526,Strategy C (Fin+Tech only)
JPM,2024-08-02,2024-09-03,0.14458105008704508,20,666.751709495035,Strategy C (Fin+Tech only)
AAPL,2024-08-02,2024-09-03,0.14830206695014037,20,476.2512210678822,Strategy C (Fin+Tech only)
BRK-B,2024-08-05,2024-09-04,0.14854008901332766,20,357.1884158009116,Strategy C (Fin+Tech only)
CRM,2024-08-29,2024-09-30,0.06480224157508409,20,2143.8561666243204,Strategy C (Fin+Tech only)
BAC,2024-10-29,2024-11-27,0.1454876153217514,20,2515.6968733105746,Strategy C (Fin+Tech only)
GOOGL,2024-10-30,2024-11-29,-0.027742908109056517,20,2012.5574986484594,Strategy C (Fin+Tech only)
MSFT,2024-10-30,2024-11-29,0.012412037995573978,20,1610.0459989187675,Strategy C (Fin+Tech only)
JPM,2024-10-30,2024-11-29,0.1109716234245137,20,1288.036799135014,Strategy C (Fin+Tech only)
MA,2024-10-31,2024-12-02,0.06392284176224003,20,1030.4294393080113,Strategy C (Fin+Tech only)
BRK-B,2024-11-04,2024-12-04,0.06411561924655966,20,686.9529595386742,Strategy C (Fin+Tech only)
V,2024-11-13,2024-12-13,0.020112066403430877,20,490.6806853847673,Strategy C (Fin+Tech only)
CRM,2024-12-04,2025-01-06,-0.0741163348024003,20,2534.1608203046194,Strategy C (Fin+Tech only)
MSFT,2025-01-29,2025-02-28,-0.06146911687648035,20,2596.706135526876,Strategy C (Fin+Tech only)
V,2025-01-31,2025-03-04,0.05992903669790432,20,2077.364908421501,Strategy C (Fin+Tech only)
GOOGL,2025-02-05,2025-03-07,-0.09725336377173387,20,1661.8919267372003,Strategy C (Fin+Tech only)
MA,2025-02-12,2025-03-14,-0.07702555662562002,20,1329.5135413897603,Strategy C (Fin+Tech only)
